Date,Amount
2009-12-01,55853.97000000018
2009-12-02,63941.42999999988
2009-12-03,79982.76999999986
2009-12-04,41119.43999999995
2009-12-05,9803.050000000001
2009-12-06,24910.080000000085
2009-12-07,45829.68000000021
2009-12-08,55291.31999999981
2009-12-09,40835.63000000006
2009-12-10,45541.7399999998
2009-12-11,40894.27999999992
2009-12-13,22560.190000000115
2009-12-14,73757.07999999952
2009-12-15,53043.820000000094
2009-12-16,52903.30000000016
2009-12-17,33161.150000000096
2009-12-18,42805.10000000003
2009-12-20,11566.130000000016
2009-12-21,18159.61000000004
2009-12-22,28565.120000000017
2009-12-23,10999.520000000004
2010-01-04,13761.900000000047
2010-01-05,19296.24000000003
2010-01-06,8746.179999999997
2010-01-07,73863.55999999994
2010-01-08,31121.470000000023
2010-01-10,23857.279999999995
2010-01-11,38282.130000000005
2010-01-12,41022.22999999995
2010-01-13,25578.20999999988
2010-01-14,34802.18000000009
2010-01-15,13733.240000000043
2010-01-17,17590.540000000026
2010-01-18,21559.889999999992
2010-01-19,33717.251000000084
2010-01-20,21540.809999999972
2010-01-21,27816.03000000006
2010-01-22,38934.45000000003
2010-01-24,16096.630000000063
2010-01-25,23287.840000000095
2010-01-26,49080.840000000026
2010-01-27,28926.819999999934
2010-01-28,20493.180000000048
2010-01-29,39315.98100000011
2010-01-31,18959.23000000006
2010-02-01,20397.570999999985
2010-02-02,22390.41000000003
2010-02-03,21592.130999999994
2010-02-04,22693.120000000115
2010-02-05,23060.91999999999
2010-02-07,17332.65000000001
2010-02-08,18887.219999999972
2010-02-09,19724.99000000001
2010-02-10,10071.659999999967
2010-02-11,15260.16000000002
2010-02-12,11462.810000000016
2010-02-14,18077.400000000063
2010-02-15,44478.33099999992
2010-02-16,31454.22999999991
2010-02-17,30530.000000000087
2010-02-18,37393.02
2010-02-19,27387.250000000004
2010-02-21,13634.041000000012
2010-02-22,26499.110000000088
2010-02-23,22853.500000000047
2010-02-24,33361.291
2010-02-25,47878.95999999998
2010-02-26,20139.200999999986
2010-02-28,17028.070000000054
2010-03-01,26273.680000000015
2010-03-02,27170.300000000007
2010-03-03,34339.69000000015
2010-03-04,33126.85000000005
2010-03-05,27684.730000000072
2010-03-07,20190.72000000014
2010-03-08,37682.01000000002
2010-03-09,24684.55000000006
2010-03-10,27961.200000000008
2010-03-11,24702.91000000007
2010-03-12,21950.83000000005
2010-03-14,9045.450000000004
2010-03-15,27946.161000000015
2010-03-16,25026.22999999998
2010-03-17,30973.52000000003
2010-03-18,41665.27000000009
2010-03-19,67896.87000000018
2010-03-21,21149.67000000006
2010-03-22,26522.78000000002
2010-03-23,80485.49
2010-03-24,33180.79000000016
2010-03-25,45510.00000000018
2010-03-26,33149.189999999966
2010-03-28,22576.920000000107
2010-03-29,60731.66000000002
2010-03-30,39674.00999999979
2010-03-31,29990.019999999964
2010-04-01,31398.76000000008
2010-04-06,19923.620000000028
2010-04-07,34671.65999999997
2010-04-08,48043.56999999997
2010-04-09,17255.13000000003
2010-04-11,20045.17000000003
2010-04-12,28444.491000000053
2010-04-13,27072.160000000138
2010-04-14,27814.360000000095
2010-04-15,39969.93999999995
2010-04-16,21056.36000000001
2010-04-18,24788.89000000012
2010-04-19,45571.68999999989
2010-04-20,33654.69000000001
2010-04-21,31272.840000000073
2010-04-22,51182.84000000001
2010-04-23,18716.399999999976
2010-04-25,17129.919999999987
2010-04-26,36705.30000000001
2010-04-27,46873.750000000095
2010-04-28,32666.4600000001
2010-04-30,30310.600000000042
2010-05-02,12701.780000000013
2010-05-04,24239.559999999994
2010-05-05,29408.500000000015
2010-05-06,56815.15000000003
2010-05-07,36595.70000000002
2010-05-09,23196.440000000013
2010-05-10,35485.04999999993
2010-05-11,28852.920000000075
2010-05-12,31530.010000000028
2010-05-13,53806.86999999986
2010-05-14,25847.120000000017
2010-05-16,18825.230000000007
2010-05-17,26945.060000000107
2010-05-18,30651.220000000067
2010-05-19,18535.410000000087
2010-05-20,27491.950000000066
2010-05-21,27872.250000000127
2010-05-23,25876.510000000017
2010-05-24,36821.27999999995
2010-05-25,23185.93000000004
2010-05-26,41170.91999999997
2010-05-27,31076.100000000155
2010-05-28,26540.320000000072
2010-05-30,10923.610000000037
2010-06-01,15820.540000000005
2010-06-02,16339.710000000057
2010-06-03,32180.410000000084
2010-06-04,21326.779999999915
2010-06-06,25948.92000000013
