Date,Amount
2009-12-07,38760.979326905894
2009-12-08,38704.95667965573
2009-12-09,36303.30338559246
2009-12-10,33496.9427198897
2009-12-11,33470.67800886104
2009-12-13,37703.021675168864
2009-12-14,44027.4061046095
2009-12-15,44956.532762960596
2009-12-16,44673.8764233303
2009-12-17,43364.86217047934
2009-12-18,42982.641191109215
2009-12-20,35887.201971536975
2009-12-21,34791.830552301966
2009-12-22,30382.587432283817
2009-12-23,24266.99684354091
2010-01-04,20020.39089949394
2010-01-05,18530.14045849856
2010-01-06,14769.078899234466
2010-01-07,19248.106180405783
2010-01-08,20787.867809800973
2010-01-10,20259.85613745334
2010-01-11,24210.90257042392
2010-01-12,28299.187138713012
2010-01-13,29461.802376686017
2010-01-14,35887.509249702234
2010-01-15,28220.435644926572
2010-01-17,26011.56232986787
2010-01-18,25638.01413775128
2010-01-19,25177.15639900068
2010-01-20,22963.67323628793
2010-01-21,23240.471218605377
2010-01-22,23615.982291921846
2010-01-24,24157.81893497757
2010-01-25,25145.76601052476
2010-01-26,28281.522853003185
2010-01-27,27669.125844301027
2010-01-28,27472.754121150287
2010-01-29,28864.890168208472
2010-01-31,26045.046983037224
2010-02-01,26941.208481382135
2010-02-02,26790.38202422419
2010-02-03,23825.043107099285
2010-02-04,23013.126568256288
2010-02-05,23404.50834389424
2010-02-07,20820.18786517404
2010-02-08,20808.87254768161
2010-02-09,20709.43796959414
2010-02-10,18475.76616792845
2010-02-11,17582.016485531334
2010-02-12,15947.654168873174
2010-02-14,15402.492304332924
2010-02-15,17622.19789734889
2010-02-16,18954.158384838418
2010-02-17,20174.646591599976
2010-02-18,24332.691384687594
2010-02-19,26452.963898132926
2010-02-21,27116.664512378768
2010-02-22,28639.416864542083
2010-02-23,26040.57027260847
2010-02-24,26260.46795416165
2010-02-25,28003.950689803343
2010-02-26,25634.608503726253
2010-02-28,23952.089377715314
2010-03-01,26305.276826494228
2010-03-02,26399.442431556436
2010-03-03,27980.671505290095
2010-03-04,27952.49659662608
2010-03-05,25848.4352599828
2010-03-07,25857.871212803027
2010-03-08,28965.031254964248
2010-03-09,28708.016578863873
2010-03-10,28825.933765250036
2010-03-11,27500.964124083017
2010-03-12,25930.75592671008
2010-03-14,22101.091999208325
2010-03-15,23151.595468123014
2010-03-16,21836.835003516317
2010-03-17,22556.43476502149
2010-03-18,23878.989345531463
2010-03-19,27589.558272424107
2010-03-21,27443.404238235275
2010-03-22,32002.156836928334
2010-03-23,37222.63971077856
2010-03-24,38753.05319026009
2010-03-25,40943.00152322338
2010-03-26,39627.235918014274
2010-03-28,33859.58485570216
2010-03-29,39366.439530020114
2010-03-30,41697.498543207716
2010-03-31,36212.73371868644
2010-04-01,35928.27960988118
2010-04-06,31929.201127175573
2010-04-07,32134.682384782744
2010-04-08,35795.37786955007
2010-04-09,29905.837097230757
2010-04-11,27126.84845541354
2010-04-12,26922.58059142552
2010-04-13,26358.347114801447
2010-04-14,27645.107960371723
2010-04-15,28212.46184538985
2010-04-16,25076.223460571524
2010-04-18,26408.218770174026
2010-04-19,29695.740875844265
2010-04-20,30417.919887765955
2010-04-21,31051.22326163811
2010-04-22,33877.7989645214
2010-04-23,30397.800547067665
2010-04-25,29514.68594786791
2010-04-26,31217.00731283559
2010-04-27,31342.89163226545
2010-04-28,31209.728212916973
2010-04-30,31070.69849982997
2010-05-02,25461.578940245385
2010-05-04,26419.739668737435
2010-05-05,28540.370777995282
2010-05-06,30378.383831034633
2010-05-07,29322.94417686063
2010-05-09,27923.34669541053
2010-05-10,28559.208485154497
2010-05-11,32110.699381971655
2010-05-12,33339.87455129643
2010-05-13,36344.998482183444
2010-05-14,32477.312476632513
2010-05-16,29535.116513246692
2010-05-17,30173.984457385683
2010-05-18,29549.305824079107
2010-05-19,27739.071183247925
2010-05-20,27201.27512866938
2010-05-21,24761.666916438695
2010-05-23,24765.687209598433
2010-05-24,27256.68526016594
2010-05-25,26677.857511999497
2010-05-26,27826.40256902046
2010-05-27,29958.335496789878
2010-05-28,29807.946139812957
2010-05-30,26074.556632030435
2010-06-01,24304.718185678055
2010-06-02,21641.272757807357
2010-06-03,22678.84585145854
2010-06-04,20644.844829813257
2010-06-06,20119.856404054473
2010-06-07,22279.50648263029
2010-06-08,28226.577213976543
2010-06-09,32143.160708117957
2010-06-10,33356.126448671595
2010-06-11,34685.964442092016
2010-06-13,34783.93671803968
2010-06-14,34667.83466176411
2010-06-15,32276.236548097837
2010-06-16,29632.186463576752
2010-06-17,33486.164178693136
2010-06-18,33096.53817818371
2010-06-20,26583.87764522049
2010-06-21,26481.191991565225
2010-06-22,24529.928728266164
2010-06-23,23958.009474156184
2010-06-24,23606.49555543688
2010-06-25,18645.989129368823
2010-06-27,18724.99262958221
2010-06-28,24656.102936082123
2010-06-29,26568.467499159087
2010-06-30,30393.556008898635
2010-07-01,30816.161439240695
2010-07-02,28676.41965715159
2010-07-04,26608.18942326345
2010-07-05,28619.90227365485
2010-07-06,24911.341137292893
2010-07-07,24764.089990500783
2010-07-08,22910.924142983782
2010-07-09,23862.256849321762
2010-07-11,21346.421130621493
2010-07-12,23432.595341683093
2010-07-13,21982.64379235855
2010-07-14,22313.213024625868
2010-07-15,24274.968868775923
2010-07-16,24672.659501730912
2010-07-18,21471.44363776876
2010-07-20,25368.43932573993
2010-07-21,25886.50976126193
2010-07-22,26838.834814619517
2010-07-23,26894.842388943303
2010-07-25,22479.251935289132
2010-07-26,22837.258647375485
2010-07-27,25136.280319073718
2010-07-28,24915.573257401044
2010-07-29,27171.85613361715
2010-07-30,25273.510645769027
2010-08-01,25820.34214395022
2010-08-02,27777.423600666913
2010-08-03,27792.438462716542
2010-08-04,26604.853898512727
2010-08-05,26858.04810018416
2010-08-06,23511.4407199293
2010-08-08,22997.249826752053
2010-08-09,23154.297496610372
2010-08-10,23910.840650635226
2010-08-11,23658.226883891482
2010-08-12,24872.17376476536
2010-08-13,26387.579758554144
2010-08-15,27547.723434514304
2010-08-16,29137.618093356967
2010-08-17,28910.335445633587
2010-08-18,28965.211219707075
2010-08-19,30074.79867599491
2010-08-20,29255.940405007437
2010-08-22,27162.73331026626
2010-08-23,27071.256904530746
2010-08-24,28406.054046891928
2010-08-25,28717.50114580081
2010-08-26,28588.927515761545
2010-08-27,29114.098305068474
2010-08-29,26787.377510918246
2010-08-31,28844.942777515716
2010-09-01,29223.658905522418
2010-09-02,30327.47452264883
2010-09-03,30872.796197468346
2010-09-05,26502.49148520831
2010-09-06,25498.903627590385
2010-09-07,27938.034610992814
2010-09-08,25048.65483342147
2010-09-09,25524.47629930936
2010-09-10,23049.021287218853
2010-09-12,20353.64308381472
2010-09-13,23945.107107662527
2010-09-14,22919.47776112169
2010-09-15,23732.48342515949
2010-09-16,27833.94502201748
2010-09-17,27027.25205712594
2010-09-19,27852.15278362307
2010-09-20,32474.550958818974
2010-09-21,34896.30600814072
2010-09-22,36910.49334642126
2010-09-23,37099.27570209906
2010-09-24,36989.12160852366
2010-09-26,36964.830290488055
2010-09-27,47813.33119537384
2010-09-28,49554.72176093392
2010-09-29,46305.12219579541
2010-09-30,50397.81304903687
2010-10-01,51018.5887572598
2010-10-03,48798.10674956147
2010-10-04,52944.74974270802
2010-10-05,51547.605591388536
2010-10-06,47166.83260546349
2010-10-07,49626.59532195322
2010-10-08,50098.772060471776
2010-10-10,46428.31011790814
2010-10-11,47210.76452139408
2010-10-12,48890.91004659228
2010-10-13,44779.19851883263
2010-10-14,51853.1199173665
2010-10-15,52892.442517280106
2010-10-17,48580.68636682139
2010-10-18,53119.82122382506
2010-10-19,54996.297224610375
2010-10-20,42373.39496188176
2010-10-21,39711.05372812713
2010-10-22,35838.48798702131
2010-10-24,31910.484819578025
2010-10-25,31357.737216270285
2010-10-26,31675.844483963814
2010-10-27,29377.238765236296
2010-10-28,37557.49827757821
2010-10-29,38697.496536576786
2010-10-31,36786.83645235119
2010-11-01,37325.0301352121
2010-11-02,40044.13303367831
2010-11-03,40032.860407738364
2010-11-04,46291.411798655805
2010-11-05,46512.644972687835
2010-11-07,43800.19332305344
2010-11-08,51772.136706107805
2010-11-09,58405.92726445763
2010-11-10,62759.41752611797
2010-11-11,66150.77900316907
2010-11-12,60881.27147244579
2010-11-14,56946.19883199986
2010-11-15,67437.22751328058
2010-11-16,64841.78155686701
2010-11-17,61617.63907229556
2010-11-18,56788.51395231123
2010-11-19,54246.660310348016
2010-11-21,50859.543226883165
2010-11-22,53738.51324481202
2010-11-23,49969.52970582411
2010-11-24,49078.46943387371
2010-11-25,51508.487808360114
2010-11-26,50717.85529988367
2010-11-28,46861.80757534178
2010-11-29,53235.536991141875
2010-11-30,56325.12912461478
2010-12-01,61602.15085888482
2010-12-02,65274.91860305346
2010-12-03,67902.2745168704
2010-12-05,72432.0887172037
2010-12-06,88205.31793881436
2010-12-07,107059.42755140418
2010-12-08,112827.96163764784
2010-12-09,111520.29686943407
2010-12-10,104120.19363556328
2010-12-12,81525.21487829702
2010-12-13,76346.09297999316
2010-12-14,67609.36550970489
2010-12-15,48793.866646641705
2010-12-16,44689.1883992095
2010-12-17,39650.73345792449
2010-12-19,29422.899729713383
2010-12-20,31620.30270800605
2010-12-21,32334.45647355353
2010-12-22,24197.515373408278
2010-12-23,21174.631044727237
2011-01-04,18146.590575753504
2011-01-05,19065.180965347576
2011-01-06,24473.030629091423
2011-01-07,24662.963303876237
2011-01-09,21082.385563856253
2011-01-10,25682.83862682612
2011-01-11,32869.74178616288
2011-01-12,34786.33580833235
2011-01-13,29426.363713002782
2011-01-14,29835.68235118941
2011-01-16,24362.294634890477
2011-01-17,26612.62731651481
2011-01-18,35102.210939010925
2011-01-19,30549.955434669184
2011-01-20,30387.656044287312
2011-01-21,32519.985099465586
2011-01-23,26195.857726497037
