InvoiceDate,TotalAmount
2009-12-01,53173.03000000023
2009-12-02,62763.58999999987
2009-12-03,68093.04999999984
2009-12-04,40346.39999999997
2009-12-05,9803.050000000001
2009-12-06,24317.200000000063
2009-12-07,44337.02000000027
2009-12-08,43743.14000000001
2009-12-09,40396.55000000004
2009-12-10,43342.479999999814
2009-12-11,38424.919999999955
2009-12-13,22065.990000000107
2009-12-14,72898.23999999955
2009-12-15,47636.66000000011
2009-12-16,52681.20000000018
2009-12-17,29317.79000000009
2009-12-18,42371.08000000001
2009-12-20,11335.230000000016
2009-12-21,14576.07000000006
2009-12-22,27481.74000000001
2009-12-23,10742.680000000002
2010-01-04,13200.600000000039
2010-01-05,19102.34000000003
2010-01-06,8746.179999999997
2010-01-07,72307.92000000004
2010-01-08,29516.63
2010-01-10,23519.919999999995
2010-01-11,37492.38999999997
2010-01-12,40690.82999999994
2010-01-13,19399.929999999935
2010-01-14,28543.280000000068
2010-01-15,13298.540000000043
2010-01-17,17565.940000000024
2010-01-18,21343.229999999992
2010-01-19,32987.87100000004
2010-01-20,16739.509999999987
2010-01-21,26967.89000000005
2010-01-22,34695.19000000009
2010-01-24,16043.85000000006
2010-01-25,22803.36000000008
2010-01-26,45406.84000000007
2010-01-27,28480.379999999925
2010-01-28,19238.16000000002
2010-01-29,17491.980999999992
2010-01-31,18450.130000000045
2010-02-01,19265.290999999987
2010-02-02,21002.99000000003
2010-02-03,21308.250999999986
2010-02-04,22659.880000000114
2010-02-05,20801.159999999974
2010-02-07,16823.770000000008
2010-02-08,15989.819999999998
2010-02-09,19608.090000000007
2010-02-10,9094.519999999968
2010-02-11,14968.640000000018
2010-02-12,11324.410000000013
2010-02-14,17751.500000000055
2010-02-15,41091.23099999991
2010-02-16,30953.129999999896
2010-02-17,22702.460000000076
2010-02-18,34229.360000000015
2010-02-19,27122.470000000005
2010-02-21,9321.781000000008
2010-02-22,26219.150000000085
2010-02-23,22561.38000000005
2010-02-24,32811.29100000004
2010-02-25,45406.680000000015
2010-02-26,13268.20099999998
2010-02-28,16805.97000000005
2010-03-01,25388.740000000016
2010-03-02,25677.44
2010-03-03,33890.13000000016
2010-03-04,31611.530000000028
2010-03-05,27684.730000000072
2010-03-07,19811.720000000136
2010-03-08,36830.01000000001
2010-03-09,19386.95000000002
2010-03-10,27133.66000000001
2010-03-11,24480.91000000007
2010-03-12,21474.25000000004
2010-03-14,9019.950000000004
2010-03-15,27378.741000000027
2010-03-16,23093.649999999958
2010-03-17,30616.960000000036
2010-03-18,40624.749999999985
2010-03-19,23632.02999999997
2010-03-21,20596.790000000063
2010-03-22,24706.200000000004
2010-03-23,32491.97000000006
2010-03-24,27177.730000000072
2010-03-25,32476.160000000084
2010-03-26,31942.910000000014
2010-03-28,22548.32000000012
2010-03-29,59139.87999999999
2010-03-30,37586.00999999983
2010-03-31,29446.639999999963
2010-04-01,30247.54000000008
2010-04-06,19029.420000000027
2010-04-07,34510.15999999997
2010-04-08,47209.46999999989
2010-04-09,16721.709999999992
2010-04-11,19889.470000000034
2010-04-12,25998.331000000053
2010-04-13,24983.04000000012
2010-04-14,26613.80000000009
2010-04-15,19257.020000000033
2010-04-16,18065.740000000013
2010-04-18,23404.870000000097
2010-04-19,45004.0499999999
2010-04-20,24754.710000000017
2010-04-21,27666.080000000056
2010-04-22,35827.21999999998
2010-04-23,14758.220000000001
2010-04-25,16418.319999999996
2010-04-26,35836.400000000016
2010-04-27,45883.41000000012
2010-04-28,32458.6600000001
2010-04-30,28255.400000000016
2010-05-02,12033.880000000012
2010-05-04,21250.520000000004
2010-05-05,26828.560000000012
2010-05-06,52517.110000000044
2010-05-07,34942.80000000004
2010-05-09,23090.140000000014
2010-05-10,30412.309999999976
2010-05-11,28707.32000000007
2010-05-12,31284.61000000002
2010-05-13,28409.93
2010-05-14,11944.700000000017
2010-05-16,18132.550000000003
2010-05-17,24180.180000000095
2010-05-18,27392.34000000007
2010-05-19,17126.75000000008
2010-05-20,24073.21000000002
2010-05-21,26809.590000000106
2010-05-23,25039.430000000015
2010-05-24,34841.37999999998
2010-05-25,21740.810000000023
2010-05-26,35705.55999999998
2010-05-27,30880.76000000016
2010-05-28,17272.080000000013
2010-05-30,10706.31000000003
2010-06-01,15643.760000000004
2010-06-02,16132.870000000054
2010-06-03,27123.19000000005
2010-06-04,21220.379999999917
2010-06-06,25423.08000000012
2010-06-07,45335.8900000002
2010-06-08,51634.60999999995
2010-06-09,37543.74
2010-06-10,15602.330000000036
2010-06-11,33294.920000000035
2010-06-13,21480.840000000087
2010-06-14,23402.15000000005
2010-06-15,28232.779999999988
2010-06-16,31207.040000000092
2010-06-17,23993.610000000088
2010-06-18,18090.62000000003
2010-06-20,9100.680000000008
2010-06-21,21148.759999999984
2010-06-22,14665.080000000007
2010-06-23,27846.18999999995
2010-06-24,25088.889999999996
2010-06-25,17704.16999999998
2010-06-27,17571.82000000003
2010-06-28,45363.679999999746
2010-06-29,34569.21000000001
2010-06-30,31366.320000000072
2010-07-01,29951.800000000072
2010-07-02,16643.39000000002
2010-07-04,10485.710000000003
2010-07-05,32317.210000000126
2010-07-06,23299.09
2010-07-07,30244.53000000006
2010-07-08,18537.790000000026
2010-07-09,33758.27999999995
2010-07-11,7853.529999999986
2010-07-12,19601.000000000044
2010-07-13,20707.84999999999
2010-07-14,21401.58000000003
2010-07-15,51526.33999999994
2010-07-16,20483.33999999998
2010-07-18,15010.37
